13616	46.084486	23.582668	Bloc ANL – str. Arieşului, nr. 235, bl. E 1, Alba Iulia
13617	46.071409	23.557064	Spitalul Judeţean de Urgenţă Alba – B-dul. Revoluţiei, nr. 2, Alba Iulia
13618	46.094252	23.60077	S.C. SEWS-R SRL Romania – Str. Alexandru Ioan Cuza, nr. 28b, Alba Iulia
13619	46.10831	23.584033	S.C. SATURN S.A. – str. Cabanei, nr. 57, Alba Iulia
13620	46.075027	23.580172	Sucursala CEC Alba – Bd. Vladimirescu Tudor, nr. 20, Alba Iulia
13621	46.077662	23.565842	Direcţia pentru Agricultură Judeţeană Alba – str. Calea Moţilor nr. 112, Alba Iulia
13622	46.063687	23.563915	Direcția Sanitar Veterinară Alba, - str. Lalelelor, nr. 7A, Alba Iulia
13623	46.171641	23.934022	S.C. Bosch Rexroth Blaj – Blaj, str. A. Vlaicu, nr. 2, Blaj
13624	45.956979	23.575226	Bloc locuinţe – Sebeş, str. Lucian Blaga, nr. 53, Sebeș
13625	45.971416	23.548896	S.C. Kronospan S.A. Sebeş – str. M. Kogălniceanu, nr. 59, Sebeș
13626	46.364106	23.049565	Judecătoria Cîmpeni – str. Horea, nr. 12, Cîmpeni
13627	46.161225	23.647809	S.C. Albalact S.A. Alba – D.N. 1, km. 392+600, Oiejdea
13628	46.398619	23.419434	Sediul Primărie Sălciua – str. Principală, nr. 62, Sălciua
13629	46.133885	23.636197	S.C. Transavia S.A. – Sediu administrativ, str. Blajului, nr. 244D, Sîntimbru
13630	46.124107	24.036588	Sediul Primăriei Valea Lungă – str. Victoriei, nr. 328B, Valea Lungă
13631	44.869806	24.844822	Str. Carol Davila nr.1, Pitești
13632	44.869806	24.844822	Str. Carol Davila nr.1, Pitești
13633	44.851811	24.880022	B-dul Republicii nr. 148, Pitești
13634	44.853281	24.876483	B-dul Republicii nr. 81, Pitești
13635	44.856186	24.869191	Str. Rahovei, Pitești
13636	44.855151	24.873704	B-dul Republicii nr. 90, Pitești
13637	44.846945	24.87407	Cartier Banat, bl. B8, sc. B, Pitești
13638	44.869389	24.855439	Str. Doctor Ștefan Odobleja nr. 1, bl. C7, sc. D, Pitești
13639	44.869225	24.855867	Str. Doctor Ștefan Odobleja nr. 1, bl. C7, sc. B, Pitești
13640	44.869072	24.856089	Str. Doctor Ștefan Odobleja nr. 1, bl. C7, sc. A, Pitești
13641	44.854986	24.876153	Piața Vasile Milea, nr. 4, Pitești
13642	44.848133	24.872286	Str. A.D. Xenopol, bl. A6, sc. G, Pitești
13643	44.848133	24.872286	Str. A.D. Xenopol, bl. A6, sc. H, Pitești
13644	44.846975	24.879933	Calea Craiovei, nr. 128, bl. 38, sc. A, Pitești
13645	44.836489	24.904142	Str. Horia, Cloșca și Crișan, nr. 13, bl. B18, sc. C, Pitești
13646	44.836133	24.904839	Str. Horia, Cloșca și Crișan, nr. 17, bl. B18, sc. B, Pitești
13647	44.836161	24.905256	Str. Horia, Cloșca și Crișan, bl. B16, sc. C, Pitești
13648	44.836161	24.905256	Str. Horia, Cloșca și Crișan, bl. B17, sc. B, Pitești
13649	44.836608	24.903744	Str. Horia, Cloșca și Crișan, nr. 15, bl. B17, sc. C, Pitești
13650	44.836589	24.904122	Str. Horia, Cloșca și Crișan, nr. 13, bl. B18, sc. D, Pitești
13651	44.837247	24.903608	Str. Horia, Cloșca și Crișan, nr. 11, bl. B19, sc. B, Pitești
13652	44.837161	24.903439	Str. Horia, Cloșca și Crișan, nr. 11, bl. B19, sc. C, Pitești
13653	44.837639	24.901686	Str. Horia, Cloșca și Crișan, nr. 6, bl. B24, sc. D, Pitești
13654	44.839364	24.900433	Str. Lânăriei, nr. 2, bl. B27, sc. B, Pitești
13655	44.839181	24.900281	Str. Lânăriei, nr. 2, bl. B27, sc. D, Pitești
13656	44.839161	24.900178	Str. Lânăriei, nr. 2, bl. B27, sc. E, Pitești
13657	44.845425	24.886094	Str. Smârdan nr. 42-44, Pitești
13658	44.847053	24.887744	B-dul Republicii, nr. 149-151, Pitești
13659	44.854728	24.871022	Str. Armand Călinescu, nr. 44, Pitești
13660	44.857942	24.871578	Str. Victoriei, nr. 18, Pitești
13661	44.840344	24.877556	Str. Vasile Pârvan, nr. 1, Pitești
13662	44.840344	24.877556	Str. Vasile Pârvan, nr. 1, Pitești
13663	44.840344	24.877556	Str. Vasile Pârvan, nr. 1, Pitești
13664	44.830911	24.909669	B-dul Petrochimiştilor, nr. 23, Pitești
13665	44.826272	24.913467	B-dul Petrochimiştilor, nr. 22, Pitești
13666	44.836443	24.903346	Str. Horia, Cloșca și Crișan, nr. 8, bl. B20, sc. D, Pitești
13667	44.836442	24.903342	Str. Horia, Cloșca și Crișan, nr. 8, bl. B20, sc. A, Pitești
